en,hmr
"Sun","Nisa"
Mercury,Sikâwlkei
"Venus","Sikhâwvar,Zingârasî,Chawngmawi"
"Earth","Leihnuoi"
"Mars","Sîkisen"
"Jupiter","Sisâi"
"Saturn","Silukâwm"
"Uranus","Keibiel"
"Neptune","Sitlei"
"Pluto","Khuolârasî"
"Planet","Vânleivâi"
