en,hmr
the spade in playing cards,Âk (n)
spending (time) more than originally intended,Âm (v)
"the bosom, the lap, the space between the chin and knees",Âng (n)
"to curse, to be cursed",Ânsie (v)
expression of a massive lost,Âr thla khirh vor ang (phrase)
name of a variety of weed,Ârlei (n)
"cut, to cut, to flay, to skin, to split (as cane)",Ât (v)
hole of a floor where waste items are dropped,Âwngthlâk (n)
