en,hmr
"excrement, dung",Êk (n)
a dung-heap (but mostly use to refer to extreme hardship),Êk dûr (n)
"lavatory, a latrine",Êk in (n)
to manure,Êkin vur (v)
a basket (without a lid),Êm (n)
"to shine, to give light, bright, shining",Ên (v)
"to light, to shine, to brighten",Êng (v)
"a light, a luminary, a light giver",Êntu (n)
